deveui,name,description,application,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e1247151234568,WT201-1,24e1247151234568,test,ClassC-OTAA,WT201,1,b71a06ea7786d805f0566d275cfd2cb2,,,
24e1247151234569,WT201-2,24e1247151234569,test,ClassC-OTAA,WT201,1,731ab33f408a6b34a4aeb76a6a7e06ca,,,
24e124715123456a,WT201-3,24e124715123456a,test,ClassC-OTAA,WT201,1,54b38141895d532eb5a854d7ffe45743,,,
24e124715123456b,WT201-4,24e124715123456b,test,ClassC-OTAA,WT201,1,b4f59fe2581f637b1a167aa7c65d3972,,,
24e124715123456c,WT201-5,24e124715123456c,test,ClassC-OTAA,WT201,1,be101e566ca0882e2ccaaea4ba154e3f,,,
24e124715123456d,WT201-6,24e124715123456d,test,ClassC-OTAA,WT201,1,6db9d64818e71328135b86cd9099c36a,,,
24e124715123456e,WT201-7,24e124715123456e,test,ClassC-OTAA,WT201,1,ac2b88b9daebd29fb319452b98a05395,,,
24e124715123456f,WT201-8,24e124715123456f,test,ClassC-OTAA,WT201,1,26dab854fb907a32141b4095dc5d8731,,,
24e1247151234570,WT201-9,24e1247151234570,test,ClassC-OTAA,WT201,1,a54f9d3f3c3ae9a9d99f881a72a28579,,,
24e1247151234571,WT201-10,24e1247151234571,test,ClassC-OTAA,WT201,1,061923633baf0d2a5020384e8dd66740,,,
