deveui,name,description,application,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e1247151234568,WT201-1,24e1247151234568,test,ClassC-OTAA,WT201,1,8a7777ffdc3446b9d12dfd7c81312b18,,,
24e1247151234569,WT201-2,24e1247151234569,test,ClassC-OTAA,WT201,1,ceaffb637918a8d1b2d751e82dd303d1,,,
24e124715123456a,WT201-3,24e124715123456a,test,ClassC-OTAA,WT201,1,29bfa68c4ca4bb2d0e0cfeb8674d7433,,,
24e124715123456b,WT201-4,24e124715123456b,test,ClassC-OTAA,WT201,1,c8725a2ac2c27060f13128dc0555d4c4,,,
24e124715123456c,WT201-5,24e124715123456c,test,ClassC-OTAA,WT201,1,ddc2bb7bef59fcb48fb6a542689e7b8a,,,
24e124715123456d,WT201-6,24e124715123456d,test,ClassC-OTAA,WT201,1,9ad90bbeca9b53592b8629460a599c1e,,,
24e124715123456e,WT201-7,24e124715123456e,test,ClassC-OTAA,WT201,1,474751908b4753faba9504b4ce39397a,,,
24e124715123456f,WT201-8,24e124715123456f,test,ClassC-OTAA,WT201,1,9a10008715a5bbab3822840e310ef267,,,
24e1247151234570,WT201-9,24e1247151234570,test,ClassC-OTAA,WT201,1,5184a791452c636816dac500750b6a7e,,,
24e1247151234571,WT201-10,24e1247151234571,test,ClassC-OTAA,WT201,1,5ed361d7b18ffa668ce423c09a1fdddf,,,
24e1247151234572,WT201-11,24e1247151234572,test,ClassC-OTAA,WT201,1,1d07c4d3a72c56a2b3fee0a60ea9c54e,,,
24e1247151234573,WT201-12,24e1247151234573,test,ClassC-OTAA,WT201,1,31476a2af7c3d7457c460be7ed386c73,,,
24e1247151234574,WT201-13,24e1247151234574,test,ClassC-OTAA,WT201,1,45eeeea8a83a12d28afed1538ba8f72f,,,
24e1247151234575,WT201-14,24e1247151234575,test,ClassC-OTAA,WT201,1,1b861c353660234a79009e1250d07d1d,,,
24e1247151234576,WT201-15,24e1247151234576,test,ClassC-OTAA,WT201,1,88d9964aff13cf17cac854a320020af5,,,
