eui,devAddr,node uplink count,node downlink count,lns uplink count
24e124136c191a0f,fc00a89c,1177,0,
24e124136c191a51,fc00aa1e,1177,1210,
24e124136c1919f2,fc00aa60,1177,1223,
24e124136c191a5d,fc00a839,1177,1221,
24e124136c1919df,fc00aa7a,1177,1200,
24e124136c191a20,fc00ab44,1177,1205,
24e124136c1919d3,fc00a82a,1177,1215,
24e124136c1919b6,fc00a9f0,1177,1213,
24e124136c191a06,fc00ab8b,1177,1203,
24e124136c1919eb,fc00a94e,1177,1223,
24e124136c1919d6,fc00abd5,1177,1235,
24e124136c1919dd,fc00abdb,1177,1198,
24e124136c191a11,fc00a977,1177,0,
24e124136c1919ec,fc00a84f,1177,0,
24e124136c1919fb,fc00a9af,1177,1193,
24e124136c191a42,fc00ab92,1177,1224,
24e124136c191a12,fc00a9db,1177,1207,
24e124136c191a24,fc00a862,1177,1199,
24e124136c191a14,fc00a84d,1177,1197,
24e124136c1919d0,fc00a9f8,1177,1209,
24e124136c191a00,fc00a85c,1177,1240,
24e124136c191a15,fc00abfb,1177,1240,
24e124136c191a5a,fc00abf3,1177,1237,
24e124136c191a16,fc00a813,1177,1218,
24e124136c1919a8,fc00abee,1177,1249,
24e124136c191a04,fc00abbd,1177,1246,
24e124136c191a23,fc00a9b7,1177,1211,
24e124136c191a09,fc00aa69,1177,1195,
24e124136c191a10,fc00a989,1177,1233,
24e124136c191a0a,fc00a813,1177,1232,
24e124136c1919e3,fc00a91d,1177,1202,
24e124136c1919b7,fc00aa9f,1177,1239,
24e124136c1919c8,fc00a95a,1177,1214,
24e124136c1919e9,fc00aac8,1177,1202,
24e124136c1919bc,fc00a829,1177,1213,
24e124136c1919dc,fc00a8c9,1177,1192,
24e124136c1919ea,fc00aa50,1177,1224,
24e124136c1919cb,fc00a80e,1177,1252,
24e124136c191a2c,fc00aaaf,1177,1199,
24e124136c1919b3,fc00aa65,1177,1226,
24e124136c191a2f,fc00a805,1177,1216,
24e124136c191a21,fc00aa5b,1177,1180,
24e124136c1919c7,fc00aac2,1177,1202,
24e124136c1919af,fc00a86c,1177,1193,
24e124136c191a0e,fc00a8fe,1177,1201,
24e124136c1919cf,fc00aa78,1177,1200,
24e124136c191a52,fc00a885,1177,1201,
24e124136c191a3d,fc00ab19,1177,1230,
24e124136c1919a1,fc00abf4,1177,1195,
24e124136c191a0c,fc00aa3c,1177,1243,
24e124136c191a4b,fc00ab30,1177,1205,
24e124136c191a34,fc00a9e8,1177,1211,
24e124136c1919b0,fc00a9af,1177,1240,
24e124136c191a1c,fc00a81e,1177,1209,
24e124136c191a5c,fc00a8bf,1177,1208,
24e124136c19199b,fc00a9f8,1177,1179,
24e124136c1919ba,fc00a82c,1177,0,
24e124136c1919ed,fc00a8df,1177,1178,
24e124136c191a36,fc00aa6c,1177,1181,
24e124136c191a54,fc00a891,1177,1213,
24e124136c1919db,fc00aa2e,1177,1177,
24e124136c1919e1,fc00a998,1177,1176,
24e124136c191a44,fc00a8de,1177,1202,
24e124136c1919c9,fc00aad6,1177,1181,
24e124136c1919f5,fc00a926,1177,1186,
24e124136c191a50,fc00a8c9,1177,1179,
24e124136c1919b8,fc00ab0a,1177,1178,
24e124136c1919c0,fc00aaa0,1177,1180,
24e124136c191a26,fc00a9d8,1177,1195,
24e124136c1919f8,fc00a8bd,1177,1175,
24e124136c1919f9,fc00ab43,1177,0,
24e124136c191a3e,fc00ab7e,1177,0,
24e124136c191a0d,fc00a828,1177,1180,
24e124136c191a56,fc00aabe,1177,1177,
24e124136c1919d5,fc00a804,1177,1176,
24e124136c1919d1,fc00a95d,1177,0,
24e124136c1919e0,fc00ab4e,1177,1180,
24e124136c191a38,fc00aaba,1177,1177,
24e124136c191a02,fc00ab35,1177,1175,
24e124136c191a32,fc00aae5,1177,1276,
24e124136c1919e2,fc00ab8d,1177,1304,
24e124136c1919da,fc00aac7,1177,1236,
24e124136c191a13,fc00abfe,1177,1260,
24e124136c191a30,fc00a80d,1177,1228,
24e124136c191a59,fc00a80d,1177,1290,
24e124136c191a31,fc00aa65,1177,1240,
24e124136c191a55,fc00a9d0,1177,0,
24e124136c1919e5,fc00ab58,1177,0,
24e124136c191a48,fc00ab88,1177,0,
24e124136c191a3f,fc00ab42,1177,1249,
24e124136c1919bf,fc00a8e8,1177,0,
24e124136c191a4e,fc00a91d,1177,1237,
24e124136c191a3c,fc00abf6,1177,1236,
24e124136c191a4d,fc00a90b,1177,1272,
24e124136c1919cd,fc00abd7,1177,1228,
24e124136c191a27,fc00a971,1177,1295,
24e124136c1919d7,fc00ab41,1177,0,
24e124136c191a45,fc00a9c3,1177,1254,
24e124136c191a1b,fc00a8c4,1177,0,
