deveui,name,description,application,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e1247151234568,WT201-1,24e1247151234568,test,ClassC-OTAA,WT201,1,366f25c6abb5004c016f442c1a56baee,,,
24e1247151234569,WT201-2,24e1247151234569,test,ClassC-OTAA,WT201,1,f91f99690ae12802eeebd747ddbec37e,,,
24e124715123456a,WT201-3,24e124715123456a,test,ClassC-OTAA,WT201,1,1db940184d6d532f421b007eb2a638ec,,,
24e124715123456b,WT201-4,24e124715123456b,test,ClassC-OTAA,WT201,1,4a9b72c49cb5e6d45131759c4cab619c,,,
24e124715123456c,WT201-5,24e124715123456c,test,ClassC-OTAA,WT201,1,c25a5bf88d221cc9c35d0a06ca6d7a4e,,,
24e124715123456d,WT201-6,24e124715123456d,test,ClassC-OTAA,WT201,1,54891f82aecc80616cf8e6b5f71600af,,,
24e124715123456e,WT201-7,24e124715123456e,test,ClassC-OTAA,WT201,1,2c7c669de00ae312d82fb74d5461deec,,,
24e124715123456f,WT201-8,24e124715123456f,test,ClassC-OTAA,WT201,1,05ec66e54a4cfc018d0391ffe0781efc,,,
24e1247151234570,WT201-9,24e1247151234570,test,ClassC-OTAA,WT201,1,102956eabb1e40f8a00eb915378f0369,,,
24e1247151234571,WT201-10,24e1247151234571,test,ClassC-OTAA,WT201,1,ee4a711e74c57b90356fb0a445f7df4c,,,
24e1247151234572,WT201-11,24e1247151234572,test,ClassC-OTAA,WT201,1,28ae52b5326a92abab2eb360a7ea3281,,,
24e1247151234573,WT201-12,24e1247151234573,test,ClassC-OTAA,WT201,1,f04a39baf5ddbb3379867323d39445a9,,,
24e1247151234574,WT201-13,24e1247151234574,test,ClassC-OTAA,WT201,1,2578949d79056f5981e1f78f1754e694,,,
24e1247151234575,WT201-14,24e1247151234575,test,ClassC-OTAA,WT201,1,e0c33df5516c76143f72420dacbce881,,,
24e1247151234576,WT201-15,24e1247151234576,test,ClassC-OTAA,WT201,1,3b8f4732257d10186bca7959b9a6714c,,,
24e1247151234577,WT201-16,24e1247151234577,test,ClassC-OTAA,WT201,1,f0dc3f400d71f73e91c4bd34e125fdac,,,
24e1247151234578,WT201-17,24e1247151234578,test,ClassC-OTAA,WT201,1,1d0522ccd5ad84b5491c50e8f354894c,,,
24e1247151234579,WT201-18,24e1247151234579,test,ClassC-OTAA,WT201,1,6612071234f36e12d666e9a9bfe58b7b,,,
24e124715123457a,WT201-19,24e124715123457a,test,ClassC-OTAA,WT201,1,841c721c931c6e7f9795339abcf5d616,,,
24e124715123457b,WT201-20,24e124715123457b,test,ClassC-OTAA,WT201,1,9e2883bb304cde91ee91655e99bcb0d1,,,
24e124715123457c,WT201-21,24e124715123457c,test,ClassC-OTAA,WT201,1,f54c2126983a77fa9391fc040a4007a2,,,
24e124715123457d,WT201-22,24e124715123457d,test,ClassC-OTAA,WT201,1,9922fdf1c78ed58c63933529fad078f4,,,
24e124715123457e,WT201-23,24e124715123457e,test,ClassC-OTAA,WT201,1,b0054b4f8e723fb003bc5cee7a421f2b,,,
24e124715123457f,WT201-24,24e124715123457f,test,ClassC-OTAA,WT201,1,c8b8379e247a05e64abb2997dc7135e7,,,
24e1247151234580,WT201-25,24e1247151234580,test,ClassC-OTAA,WT201,1,abfe5075f2962b8eeeb9b9eedf630251,,,
24e1247151234581,WT201-26,24e1247151234581,test,ClassC-OTAA,WT201,1,6b85f9d07e303722fe4f73f049e154d5,,,
24e1247151234582,WT201-27,24e1247151234582,test,ClassC-OTAA,WT201,1,ef43c1608e058d859218ed3050f907d1,,,
24e1247151234583,WT201-28,24e1247151234583,test,ClassC-OTAA,WT201,1,a0f35a4e988ff4b5f8fae8c63fa83d73,,,
24e1247151234584,WT201-29,24e1247151234584,test,ClassC-OTAA,WT201,1,90467e753f5da7b9dea7073b6d115b85,,,
24e1247151234585,WT201-30,24e1247151234585,test,ClassC-OTAA,WT201,1,ce71b019f6afb06167327c3405430e1c,,,
24e1247151234586,WT201-31,24e1247151234586,test,ClassC-OTAA,WT201,1,79770cc541ee2a51932c78f9d0094231,,,
24e1247151234587,WT201-32,24e1247151234587,test,ClassC-OTAA,WT201,1,08a9f211845598a3c02dac5324cd0a32,,,
24e1247151234588,WT201-33,24e1247151234588,test,ClassC-OTAA,WT201,1,5a7c1fdc9d5638f7d06eed8ae700bbc5,,,
