deveui,name,description,deviceprofile,payloadcodec,fport,appkey,devaddr,nwkskey,appskey
24e124136c19199a,24e124136c19199a,24e124136c19199a,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c19199b,24e124136c19199b,24e124136c19199b,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c19199c,24e124136c19199c,24e124136c19199c,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c19199d,24e124136c19199d,24e124136c19199d,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c19199e,24e124136c19199e,24e124136c19199e,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c19199f,24e124136c19199f,24e124136c19199f,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a0,24e124136c1919a0,24e124136c1919a0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a1,24e124136c1919a1,24e124136c1919a1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a2,24e124136c1919a2,24e124136c1919a2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a3,24e124136c1919a3,24e124136c1919a3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a4,24e124136c1919a4,24e124136c1919a4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a5,24e124136c1919a5,24e124136c1919a5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a6,24e124136c1919a6,24e124136c1919a6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a7,24e124136c1919a7,24e124136c1919a7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a8,24e124136c1919a8,24e124136c1919a8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919a9,24e124136c1919a9,24e124136c1919a9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919aa,24e124136c1919aa,24e124136c1919aa,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ab,24e124136c1919ab,24e124136c1919ab,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ac,24e124136c1919ac,24e124136c1919ac,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ad,24e124136c1919ad,24e124136c1919ad,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ae,24e124136c1919ae,24e124136c1919ae,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919af,24e124136c1919af,24e124136c1919af,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b0,24e124136c1919b0,24e124136c1919b0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b1,24e124136c1919b1,24e124136c1919b1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b2,24e124136c1919b2,24e124136c1919b2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b3,24e124136c1919b3,24e124136c1919b3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b4,24e124136c1919b4,24e124136c1919b4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b5,24e124136c1919b5,24e124136c1919b5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b6,24e124136c1919b6,24e124136c1919b6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b7,24e124136c1919b7,24e124136c1919b7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b8,24e124136c1919b8,24e124136c1919b8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919b9,24e124136c1919b9,24e124136c1919b9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ba,24e124136c1919ba,24e124136c1919ba,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919bb,24e124136c1919bb,24e124136c1919bb,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919bc,24e124136c1919bc,24e124136c1919bc,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919bd,24e124136c1919bd,24e124136c1919bd,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919be,24e124136c1919be,24e124136c1919be,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919bf,24e124136c1919bf,24e124136c1919bf,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c0,24e124136c1919c0,24e124136c1919c0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c1,24e124136c1919c1,24e124136c1919c1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c2,24e124136c1919c2,24e124136c1919c2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c3,24e124136c1919c3,24e124136c1919c3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c4,24e124136c1919c4,24e124136c1919c4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c5,24e124136c1919c5,24e124136c1919c5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c6,24e124136c1919c6,24e124136c1919c6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c7,24e124136c1919c7,24e124136c1919c7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c8,24e124136c1919c8,24e124136c1919c8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919c9,24e124136c1919c9,24e124136c1919c9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ca,24e124136c1919ca,24e124136c1919ca,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919cb,24e124136c1919cb,24e124136c1919cb,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919cc,24e124136c1919cc,24e124136c1919cc,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919cd,24e124136c1919cd,24e124136c1919cd,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919ce,24e124136c1919ce,24e124136c1919ce,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919cf,24e124136c1919cf,24e124136c1919cf,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d0,24e124136c1919d0,24e124136c1919d0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d1,24e124136c1919d1,24e124136c1919d1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d2,24e124136c1919d2,24e124136c1919d2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d3,24e124136c1919d3,24e124136c1919d3,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d4,24e124136c1919d4,24e124136c1919d4,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d5,24e124136c1919d5,24e124136c1919d5,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d6,24e124136c1919d6,24e124136c1919d6,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d7,24e124136c1919d7,24e124136c1919d7,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d8,24e124136c1919d8,24e124136c1919d8,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919d9,24e124136c1919d9,24e124136c1919d9,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919da,24e124136c1919da,24e124136c1919da,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919db,24e124136c1919db,24e124136c1919db,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919dc,24e124136c1919dc,24e124136c1919dc,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919dd,24e124136c1919dd,24e124136c1919dd,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919de,24e124136c1919de,24e124136c1919de,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919df,24e124136c1919df,24e124136c1919df,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e0,24e124136c1919e0,24e124136c1919e0,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e1,24e124136c1919e1,24e124136c1919e1,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
24e124136c1919e2,24e124136c1919e2,24e124136c1919e2,ClassA-OTAA,EM300-TH,1,12345678123456781234567812345678,,,
